
-1.388845,0.445,2125,r
-5.356068,0.116,2946,r
-3.51232,0.98,1659,r
0.47736,0.918,5386,r
-2.520142,0.514,5712,r
-1.205568,0.414,7259,r
-0.840168,0.168,9659,r
0.838508,0.646,3445,r
35.063697,0.899,9244,g
-9.34971,0.47,2670,r
4.016114,0.731,5020,g
0.534016,0.224,2674,r
-8.571024,0.693,5257,r
7.616997,0.271,7826,g
3.535224,0.462,7893,g
-3.729728,0.808,6623,r
-3.07832,0.805,7939,r
-6.82297,0.385,7394,r
-21.39291,0.99,8491,r
-6.7551,0.33,5434,r
-0.885388,0.028,5576,r
-11.11619,0.166,7658,r
4.430706,0.434,5683,g
4.175022,0.114,9510,g
0.563892,0.588,341,r
23.200404,0.474,4132,g
-1.751368,0.116,3772,r
-0.597082,0.079,2092,r
8.00054,0.34,8796,g
2.68011,0.97,3832,g
-21.6892,0.43,9211,r
-2.89641,0.402,529,r
0.262795,0.005,6021,r
-22.458632,0.248,9538,r
-7.96589,0.205,5934,r
26.718804,0.916,5577,g
-5.921626,0.667,5371,r
-7.048311,0.457,9599,r
-23.295696,0.634,9107,r
2.373835,0.223,689,g
1.504762,0.266,2562,g
4.826503,0.671,3165,g
-8.725234,0.686,9756,r
-20.022876,0.348,5345,r
0.00047,0.094,324,r
21.96684,0.966,6846,g
-12.2238,0.9,6148,r
1.036925,0.703,118,g
-0.64032,0.138,8905,r
-20.783682,0.862,7007,r
-21.883218,0.826,6121,r
-0.456928,0.218,7979,r
-14.134479,0.831,4215,r
-25.03224,0.81,6173,r
16.023168,0.504,6436,g
-1.474356,0.156,3439,r
-7.100604,0.399,8574,r
-18.645518,0.619,8413,r
22.185583,0.911,4533,g
-1.5598,0.2,3654,r
8.92949,0.835,8961,g
-0.108031,0.253,205,r
-0.016368,0.372,30,r
7.06384,0.848,944,g
-9.303415,0.671,6722,r
1.86295,0.19,4875,g
-10.779895,0.643,5451,r
-5.169408,0.032,9808,r
-9.04419,0.817,8686,r
14.507082,0.774,6036,g
-3.129588,0.693,4468,r
-5.633433,0.801,5982,r
0.996304,0.292,6328,r
3.006522,0.894,1641,g
-4.35342,0.222,3593,r
2.808259,0.577,5569,g
0.830946,0.038,1884,r
9.049605,0.843,4411,g
-0.588642,0.102,256,r
-9.204238,0.709,5379,r
18.55797,0.249,7050,g
14.473652,0.773,7828,g
12.72328,0.785,3865,g
0.194012,0.041,288,r
9.404061,0.723,9282,g
5.477044,0.292,7180,g
